first_author,year,date,journal,disease,url,pmid,brain_region,enriched,n_cells,n_subjects,n_controls,n_cases,notes
Adams,2024,3/15/2024,Nature Aging,Parkinson's Disease,https://pubmed.ncbi.nlm.nih.gov/38491288/,38491288,Substantia Nigra,,69289,31,17,14,
Al-Dalahmah,2020,2/18/2020,Acta Neuropathologica Communications,Huntington's Disease,https://pmc.ncbi.nlm.nih.gov/articles/PMC7029580/,32070434,Cingulate Cortex,,5199,4,2,2,"Focused on astrocytes, but saw significant differenecs in all cells; Did some bulk RNAseq as well as snRNAseq"
Batiuk,2022,10/12/2022,Science Advances,Schizophrenia,https://pubmed.ncbi.nlm.nih.gov/36223459/,36223459,Prefrontal Cortex,,209053,23,14,9,
Brase,2021,12/2/2021,medRxiv,Alzheimer's Disease,https://www.medrxiv.org/content/10.1101/2021.11.30.21267072v1.full-text,,Parietal Cortex,,1102459,67,9,58,"The current link is the preprint. 16 autosomal dominant AD, 19 have AD risk variants, 16 without carriers of their variants, 3"
Brase,2023,4/21/2023,Nature Communications,Alzheimer's Disease,https://pubmed.ncbi.nlm.nih.gov/37085492/,37085492,Parietal Cortex,,294114,67,9,58,"16 carriers of autosomal dominant pathogenic mutations, 31 sporadic AD non-carriers of risk-modifying variants, 3 with AD neuropathology but no cognitive impairment, 8 with non-AD neurodegenerative pathology, 9 control"
Brenner,2020,3/6/2020,Human Molecular Genetics,Alcoholism,https://pmc.ncbi.nlm.nih.gov/articles/PMC7206851/,32142123,Prefrontal Cortex,,16305,7,4,3,
Cain,2023,6/19/2023,Nature Neuroscience,Alzheimer's Disease,https://pubmed.ncbi.nlm.nih.gov/37336975/,37336975,Prefrontal Cortex,,172659,24,12,12,Title (in case the link doesnt work): Multicellular communities are perturbed in the aging human brain and Alzheimer’s disease. This used ROSMAP
Daskalakis,2024,5/24/2024,Science,Cross-Disorder (Psychiatric),https://pubmed.ncbi.nlm.nih.gov/38781393/,38781393,Prefrontal Cortex,,530226,118,50,68,"PTSD, MDD. This is multiomic but includes snRNA-seq. 16 PTSD, 42 MDD"
Davila-Velderrain,2021,7/1/2021,bioRxiv,Alzheimer's Disease,https://www.biorxiv.org/content/10.1101/2021.07.01.450715v1.full,,"Hippocampus, Entorhinal Region",,489558,65,34,31,The current link is the preprint
Del-Aguila,2019,8/9/2019,Alzheimer's Research & Therapy,Alzheimer's Disease,https://pubmed.ncbi.nlm.nih.gov/31399126/,31399126,Parietal Lobe,,26331,3,0,3,No controls
Emani,2024,5/24/2024,Science,Cross-Disorder (Neurodegenerative and Psychiatric),https://pubmed.ncbi.nlm.nih.gov/38781369/,38781369,Prefrontal Cortex,,2800000,388,182,206,"SCZ, BP, ASD, AD. Neuropsychiatric disorders"
Frohlich,2024,9/3/2024,Nature Neuroscience,Cross-Disorder (Neurodegenerative and Psychiatric),https://pubmed.ncbi.nlm.nih.gov/39227716/,39227716,Orbitofrontal Cortex,,800000,87,33,54,"Various Disorders, including but not limited to: AD, PD, SCZ, ASD, Alcoholism, Epilepsy, TLE, MS, BP"
Fujita,2024,3/21/2024,Nature Genetics,Alzheimer's Disease,https://pubmed.ncbi.nlm.nih.gov/38514782/,38514782,Neocortex,,1509626,424,,,"34% cognitively nonimpaired, 26% mild impaired, 40% dementia"
Fullard,2021,7/19/2021,Genome Medicine,COVID-19,https://pubmed.ncbi.nlm.nih.gov/34281603/,34281603,"Prefrontal Cortex, Medulla, Choroid Plexus",,46560,9,4,5,
Gabitto,2024,10/14/2024,Nature Neuroscience,Alzheimer's Disease,https://pubmed.ncbi.nlm.nih.gov/39402379/,39402379,Middle Temporal Gyrus,,3400000,84,,,"The individuals have a spectrum of AD pathologies, see Fig 1. Multiomics"
Galvao,2024,12/20/2024,iScience,Focal Cortical Dysplasia,https://pubmed.ncbi.nlm.nih.gov/39640563/,39640563,Cortex,,61525,11,2,9,"3 have FCD IIa, 6 have FCD IIb"
Gerrits,2021,2/20/2021,Acta Neuropathologica,Alzheimer's Disease,https://pubmed.ncbi.nlm.nih.gov/33609158/,33609158,"Occipital Cortex, Occipitotemporal Cortex",,482472,18,8,10,
Green,2024,8/28/2024,Nature,Alzheimer's Disease,https://pubmed.ncbi.nlm.nih.gov/39198642/,39198642,Prefrontal Cortex,,1649672,437,,,"Used ROSMAP participants. Participants varied across NCI, MCI, MIC and other, AD, AD and other, Other"
Grubman,2019,11/25/2019,Nature Neuroscience,Alzheimer's Disease,https://pubmed.ncbi.nlm.nih.gov/31768052/,31768052,Entorhinal Cortex,,13214,12,6,6,
Herrero,2020,5/27/2020,Molecular Autism,Autism Spectrum Disorder,https://pubmed.ncbi.nlm.nih.gov/32460837/,32460837,Amygdala,,12289,10,5,5,"Along with their own dissections, they also did some data mining for ASD susceptibility genes. This used the Sorrells et al dataset but focused on AD, whiel Sorrells et al only looked at developmental stages"
Hoffman,2023,5/2/2023,Research Square (preprint),Alzheimer's Disease,https://pubmed.ncbi.nlm.nih.gov/36993704/,36993704,Prefrontal Cortex,,1400000,299,149,150,
Hoffman,2024,12/11/2024,Research Square,Cross-Disorder (Neurodegenerative and Psychiatric),https://pubmed.ncbi.nlm.nih.gov/39711543/,39711543,Prefrontal Cortex,,5600000,1384,,,"This is a preprint. AD, MDD, ASD, SCZ, PD, MS, ALS, BD"
Is,2024,6/20/2024,Nature Communications,Alzheimer's Disease,https://pubmed.ncbi.nlm.nih.gov/38902234/,38902234,Temporal Cortex,,78396,24,12,12,
Jakel,2019,1/23/2019,Nature,Multiple Sclerosis,https://pmc.ncbi.nlm.nih.gov/articles/PMC6544546/,30747918,,White Matter,17799,9,5,4,
Johansen,2023,10/13/2023,Science,Epilepsy,https://pubmed.ncbi.nlm.nih.gov/37824649/,37824649,Middle Temporal Gyrus,,400000,75,23,52,"50 participants were having surgery for epilepsy, 23 to have tumors removed, 2 for both"
Kamath,2022,5/5/2022,Nature Neuroscience,Parkinson's Disease,https://pubmed.ncbi.nlm.nih.gov/35513515/,35513515,Substantia Nigra,,387483,16,8,8,
Kaufman,2021,3/12/2021,Med,Multiple Sclerosis,https://pubmed.ncbi.nlm.nih.gov/33748804/,33748804,,CNS-homing Immune Cells,497705,62,31,31,
